Reporter_Organization,ASRS_Report_Number_Accession_Number,Reporter_Organization_1,ASRS_Report_Number_Accession_Number_1,Narrative,Narrative_1,Synopsis,Fuente
Air Carrier,868119.0,,,"During descent on the RNAV arrival we encountered wake turbulence from the preceding aircraft. The Captain, without verbalizing it, decided to fly off to one side of the center of the arrival route ostensibly to avoid the wake turbulence. I noticed what he was doing and asked if he would prefer to offset to one side of the track within the RNP limits. He said no, he would manually do it to maintain his mental acuity. As soon as I turned back, I noticed and notified the Captain that we were 500 FT below the minimum altitude for the next waypoint. He immediately climbed back to the correct altitude. As we approached the correct altitude, ATC asked us for verification of the altitude. No further comments were made by ATC concerning altitude. The Captain chose to fly the aircraft off the RNAV course and refuse my recommendation to use the offset function that would have continued to abide by altitude constraints. If the Captain had notified ATC of the wake turbulence, they may have allowed an alternate descent profile which would have required less monitoring. If he had verbalized his plan, I could have spoken up and made an alternate recommendation. There are some pilots whose complacency has become so ingrained that they become at odds with SOP's and choose to rationalize making up their own. Simply line checking on short hops doesn't catch the pilot who exhibits this behavior when they are tired or trying to expedite their last leg home. Line checks need to be done much more often and on a mix of long and short legs if they are to achieve any usefulness beyond checking a regulatory box.",,A321 First Officer reports altitude deviation by the Captain flying when attempting to hand fly off the RNAV arrival to avoid wake turbulence.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,868235.0,Air Carrier,868236.0,"During the walk around I found the number 4 and 1 tires were low on pressure. All tires had good tread remaining on them. Maintenance serviced the tires and we proceeded on time. The flight, including descent and approach, was normal. First Officer performed a 40-flap landing with auto brakes 2 selected. The touchdown was on speed, smooth and in the touchdown zone, although the aircraft settled a bit harshly when the spoilers deployed. First Officer began applying brakes and the auto brakes disarmed. At one point it felt as if the brakes suddenly grabbed, but we felt no unusual vibration in the cockpit. As we slowed further the anti-skid fail light came on. We turned off the runway and began taxiing to the gate. The PSEU light on the overhead illuminated and before turning towards the jetway I noticed the green gear down light for the right main gear was no longer illuminated and stopped the aircraft. The First Officer pointed out the green light for the right main was illuminated on the overhead panel. The aircraft was not listing and otherwise felt normal while taxiing, so I continued to the gate. After stopping at the gate the First Officer checked the hydraulics and stated that the A system was losing fluid and was now showing an 'RF'. I went outside and found the number 3 tire had blown and the tread separated. The loose tread had cut one of the A system hydraulic lines and had pulled out wire bundles from the wheel well area near the main strut. It also damaged a bracket in the same area, as well as some skin damage to the lower wing, both fore and aft of the well area. We notified Tower and had them sweep the runway of the separated remnants prior to the next aircraft's arrival. When I went down to look, ground personnel were already containing the hydraulic fluid spill around the right gear. When I asked the flight attendants, the two in back of the plane said they felt a thumping sound from the gear on rollout. No passengers or crew were injured and none of the passengers mentioned hearing any sound or unusual occurrence when they deplaned.",,"A B737-800 Flight Crew reported main gear tire failure on landing, possibly due to an antiskid malfunction. There was some damage to the aircraft from the loose tread.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,868347.0,Air Carrier,868345.0,"The First Officer was flying. At 11,000 FT with AP/AT/LNAV engaged, we began to experience a severe vibration and popping noise. Neither of us had experienced this before. No cockpit indications of a problem. The First Officer turned off the AP/AT and reduced power and the vibration and popping began to stop. The Lead Flight Attendant called and said that there were flames coming out of the right side of the aircraft. At the same time the airspeed began to decrease so the First Officer added power and it started all over again shaking and popping. A Company Mechanic was on board and called and said that flames were coming out of the #2 engine and it was a possible compressor stall. The First Officer increased the #1 thrust lever and it operated normally. I used the engine shut down memory items and we declared an emergency. I made a PA to the passengers and flight attendants. We ran the Engine Shutdown checklist followed by the Single Engine Landing checklist. At 2,000 FT I took the controls and the First Officer completed the landing computations. We landed safely, then pulled off the runway and talked to CFR and the passengers. We taxied to the jetway. No injuries were involved. A logbook entry was made.",,"Alerted by severe vibration, loud popping and a Flight Attendant's report of fire from the right engine, the flight crew of a B737-700 descending for landing shut down the engine, declared an emergency and landed at their destination airport.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,868384.0,,,"Aircraft was presented to Crew in ZZZ with a deferred item open, stating the forward coffee maker and spigot were inop'ed at a previous Station and the deferred MEL included draining the A320 of potable water and deferring the entire water system. While reviewing the Maintenance Release, the First Officer reported the forward lavatory toilet flushed normally. Water (H20) quantity was checked and it was found to be full, in direct contrast to the MEL instructions for the deferral on the Maintenance Release. Maintenance Control was contacted and a Maintenance Report item sent. Contract Maintenance called to aircraft in ZZZ and he reinstated the water system as no faults could be located. A few other write-ups were handled by ZZZ Maintenance Technician and he left the aircraft, with the Deferral placard still located on the forward Cabin Intercommunication Data System (CIDS) panel. This item was not discovered until en-route to ZZZ1. Aircraft was not serviced with potable water in ZZZ, so it operated at least one leg in violation of the MEL. The ZZZ Maintenance Technician stated the aircraft appeared to be not configured correctly for the 'No' potable water operation as all the valves had been left open. If the aircraft had a frozen water system as originally expected in the first write-up, how can one drain a water system that is frozen? Rhetorical question but that was the procedure listed under the MEL.",,"An A320 Pilot reports about a deferral of the potable water system that did not comply with the MEL procedures for their A320. Captain also asks 'if the aircraft had a frozen water system as originally expected in the first write-up, how can one drain a water system that is frozen'?",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,868541.0,,,"Refused visual approach clearance when issued clearance to fly Visual 28R after being vectored to 1 mile in trail of a 767 for 28L. Uneventful go around and subsequent landing executed. Following day I was advised that NORCAL wished to talk to me. Spoke to Quality Control and realized that we do not view this in the same light. I do not see the need for me to fly in trail of a heavy when operating to parallel rwys within 2500 feet of each other. I see no reason for me not to have been vectored abeam, ahead or a little in trail (1/4 to 1/2 mile) as opposed to 1 mile in trail when the turbulence reaches max levels. In addition, approach speed difference would mean I would fall further behind and more into the danger zone. I thought ATC was supposed to maintain responsibility for my heavy turbulence clearance until it issues me the visual clearance. If this is true then how could I have gotten to 1 mile in trail if they did not violate this requirement. My main reason for this report is the disagreement (cordial) between NORCAL and I as to; #1 the importance of NORCAL maintaining heavy separation for me until I accept a visual clearance; #2 NORCAL stated policy to me that putting me ahead, abeam or inside 1/2 mile in trail is not as important to them as closure rates or the fear that the 767 might pass me and consequently need to go around; and #3 their complete befuddlement at why a pilot would refuse such a clearance; quote 'no other pilots have done that'.",,"Unhappy with spacing behind a B767 on approach to parallel runway, an A320 Flight Crew executes go around at SFO.",ASRS_DBOnline_2010_2014.xlsx
Air Carrier,868998.0,,,"B737 database missed approach for RNAV Runway 08 GCM goes to point VODAK. New plates effect for last couple of weeks show different missed approach to point MOBIX. This is a none radar environment, if the crews miss this in IMC some serious separation issues could develop. Recommend immediate addition to flight plans calling attention this change until databases catch up...Error. Approach was in GCM night prior.",,A B737 Captain reported that the FMC Navigation Database for MWCR/GCM RNAV 08 was issued after the commercial approach was issued and so his flight operated to the airport without the current missed approach information for flight guidance.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,869244.0,Air Carrier,869599.0,"Aircraft generated ECAM AIR ENG 2 Bleed Fault. Crew performed ECAM actions. Next notified Company Dispatch (via ACARS) and reviewed AOM for further guidance. After review of AOM procedures to see if affected item required any special procedures. There was one which would affect our flight. Do not operate into known or forecast icing conditions. In addition, the procedures required that we descend to FL310 and avoid icing conditions. We contacted ATC and requested descent to FL 310 and contacted company to advise about the MEL. This is were the crew and company saw things differently. The Captain established a phone patch to speed up communications and express our concerns regarding the inop ENG 2 Bleed Air. Our concerns regarding MEL requirements of known icing and FL 310 required diverting to an airport with no known/forecast icing, however, the company's repeated view of the no MEL situation on the aircraft and no restrictions from the AOM allowed us to continue to our ice impacted destination at FL 390. This discussion lasted while we continued northbound toward our original destination. I, being the Flying Pilot, handled the aircraft and communications with ATC, while the Captain communicated with the company. He provided operating manual references which state: If any instrument or item of equipment required for the particular operation becomes inoperative en route, the Captain shall comply with the approved procedures for such occurrence as specified elsewhere in this manual, the AOM, applicable MEL's/CDL's, and any pertinent FAR's. The Captain and I discussed the issue at length, and made the decision to divert to an airport with no known icing due to inop AIR ENG 2 Bleed Fault and MEL restrictions, which we did. This maintenance diversion caused the crew to exceed eight hours within 24 hours which required 18 hours rest and removal from the next day's trip.","It is the opinion of this Captain and crew that these events were precipitated by management's decision to continue the flight without regards to the FAR's, safety of operation, and/or adherence to company issued manuals. This crew was PUSHED repeatedly to continue to our destination without regards for safety. When Dispatch and or management disagree with a Captain in regards to the safe operation of an aircraft, the safest course of action should always be taken without the extreme pressure that this crew encountered.",After suffering the loss of an engine bleed an A320 Flight Crew encountered resistance from Maintenance and Management regarding their decision to divert to a station with no known icing as required by the company's operating manuals.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,869702.0,Air Carrier,869571.0,"I was the Flying Pilot. Shortly after crossing the ECA VOR, we were given radar vectors off of the arrival, and a descent clearance to 8000 feet. The vectors took us directly over the Byron (identifier C83) airport, and generally toward Mt. Diablo. We then entered IMC. As briefed in the approach briefing, the MSA for our sector was 5100 feet, with Mt. Diablo at an elevation of +-3900 feet. We were cleared and descended to 5000 ft, and began to slow from 250 KIAS to 200 KIAS as we were approaching the SFO Class B airspace boundary. Both the Captain and I had our NAV Displays set to Weather Radar as we entered into light rain showers. I temporarily set my NAV Display back to Terrain to see if it would 'paint' Mt. Diablo, (which it did not), and then switched back to Weather. Shortly after switching back to Weather, we received a GPWS 'Terrain, Terrain, Pull-up, Pull-up.' By the second 'Pull-up', I had initiated the GPWS Terrain escape maneuver (as outlined in the Flight Manual), and concurrently the Captain advised NorCal Approach that we were climbing due to the GPWS Terrain warning. The warning ceased almost immediately after the initiation of the climb. NorCal Approach re-cleared us, when able, to descend to 4000 feet. Recovery from the climb started at about 6000 feet, and (to my recollection) never exceeded 7000 feet, at which point we began a slow descent back down to 4000 feet. During the descent back to 4000 feet, I re-engaged the autopilot and autothrust. At this point we were approximately on the OAK VOR 015 at 15DME. We broke out into VMC shortly thereafter, continued to get vectors onto the localizer for the OAK ILS 11, and made an uneventful visual approach and landing. The hardest part of the whole event, was trying not to keep thinking about what just happened (GPWS Warning), but to focus on what still needed to be done (approach and landing). The Captain did a great job of communicating with ATC, verifying our clearances and status of aircraft configuration with regard to autofight, position etc. with me. There was no other mention of the event by ATC.","Clean configuration. Without warning, we received a 'Too Low, Terrain. Terrain, Terrain, Pull Up, Pull Up'. There was no pop-up feature on the ND. The First Officer immediately performed the escape maneuver, and I told ATC that we were climbing for a terrain warning. The terrain warning ceased climbing through around 6500 feet, and we leveled close to 7000 feet. ATC cleared us back down to 4000 feet when able, and we began a gradual descent back down to that altitude, with the First Officer's terrain function on.",A320 Flight Crew experiences a GPWS terrain warning at 5000 feet during vectors to OAK. The Crew takes evasive action and informs ATC.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,870137.0,Air Carrier,870143.0,"At approximately 17,000 feet and 280kts I heard the flap overspeed warning horn going off. The First Officer inadvertently moved the flap handle thinking it was the speed brake handle. I immediately moved the flap handle back to zero. The warning horn went off for no more than 5 seconds so I know the slats didn't fully extend. After regrouping, we continued the approach and landing uneventfully. I sent an overspeed write up in to Maintenance Control. After the flight I also called Dispatch to inform them what had happened. Dispatch and I also talked to Maintenance Control on the phone to make sure if any other action was required after the flight. Maintenance Control said no. The First Officer is new to the airplane and mistook the flap handle for the speed brake handle.","As First Officer, I was the Flying Pilot. We had been taken off the STAR and given direct to the outer marker prior to our descent. Then, we were assigned to cross 30NM west of the outer marker at 11,000 feet. As we were approaching near the top of descent, I was heads down in the MCDU trying to create a fix for situational reference, however, this became a major distraction. The waypoint I had created was not accurate and I started down in the descent early for our crossing restriction. Believing that I might be high, I pulled out what I thought were the speedbrakes when in actuality it was the flap lever. The speed at the time was 280kts at at altitude of 17,000 feet. Instantly, ECAM alert and master warning ocurred. The Captain immediately diagnosed the problem and had me stow the flaps back to zero. The flap overspeed warning sounded for 5 seconds or less. Fatigue was not a factor. You can have a quick mind but in aviation but need hands slow as molasses. Subsequent landing was uneventful.",A320 First Officer inadvertently grabs flap handle to extend speed brakes at 17000 feet and 280 knots. Over speed warning sounds and flaps are quickly retracted.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,870139.0,Air Carrier,870368.0,"At a cruise altitude of FL380 I noticed a slight humming sound coming from behind the First Officer seat. I called the A Flight Attendant located in the forward galley to ask if she felt anything, her comments were, 'I hear the sound and there is a vibration on the floor when I stand in front of the forward galley'. I notified Dispatch via ACARS of the humming noise,and sent Maintenance a log item via ACARS. On descent the humming noise increased and an electrical smell was noticed for the first time in the cockpit. Called the Flight Attendant again to ask if she smelled anything unusual, her reply was: 'I don't smell anything back here'. There was never any smoke present associated with the noise or electrical smell. After switching to Approach Control I declared an emergency with ATC, requested priority handling and fire rescue equipment standing, we got cleared for the visual approach. In the mean time, I called the A Flight Attendant again to inform her of the emergency and directed her to conduct a Cabin Advisory. Upon landing, we requested an outside visual inspection of the airplane for possible smoke or heat signature, none was noted by the fire personnel. We taxied to the gate followed closely by firefighting equipment. Enroute to the gate, the noise increased as did the electrical smell until a CB tripped and the noise stopped. Upon arrival at the gate, we where met by firefighting personnel who found no heat signatures in the cockpit. After that the passengers deplaned normally.",,A320 flight crew reports slight vibration in the cockpit floor and electrical fumes during descent. An emergency is declared and normal landing ensues. During taxi-in the vibration increases then stops at the sound of a circuit breaker tripping.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,870472.0,Air Carrier,870848.0,"Upon touchdown the #1 Thrust Reverser (TR) would not unlock initially. Deployed the #2 normally but had to pull three times to get the #1 TR to unlock. Both Thrust Levers were against the idle stop. Logbook entry made. This airplane had some other curious electrical issues this day that make me wonder if there has been a recent lightning strike or other electrical anomaly. Earlier, when we did our Before Start Originating checklist, the First Officer and I both recall verifying the autothrottle switch in the OFF position. However, upon being cleared for takeoff and advancing the thrust levers when I engaged TOGA, the autothrottles engaged and we found the switch in the ON position. I could possibly have bumped the switch at some point, but I don't think I did. I certainly don't recall being close to it at any point. Later on, the TCAS failed on both transponders. I cycled the TCAS circuit breaker once and the system returned to normal. On the next leg we received a 'Single FMC' message. I placed the FMC switch to 'Both on 1', stayed there for a moment and then back on both and the FMC system operated normally the remainder of the evening. I made no logbook entries on these issues as they were spurious, one time events, which corrected themselves so they couldn't be duplicated. When taken together though over the course of the three legs, it appears there may be some spurious electrical anomaly in the aircraft.",The Captain wrote up the failure of the deployment of the Thrust Reverser in ZZZ.,A recalcitrant left reverser on a B737-700 reminds the flight crew of previous spurious problems with the aircraft.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,870512.0,,,"On the last leg of a 4 day trip I was the pilot flying. The visibility was less than 1 mile with the sky obscured. I elected to have the First Officer start the #2 engine early for warm up requirements and also so greater attention could be given to the taxi out. As we approached the ILS hold short line I could tell the airplane did not sound 'normal' but could not tell why. The take off was normal but the engine sound seemed to have a slightly higher pitch. As we were climbing through about 5000, I realized that the packs were not on. I immediately told the First Officer to turn on one pack, allow the cabin to stabilize, then turn on the second pack. I did not notice any bump or sense of pressure change. The flight continued without incident. I knew the airplane did not sound right and continued to look for a reason to support my feeling. I think the bottom line is I did not follow up behind my First Officer. The packs show up on the checklist multiple times so there is no excuse for me to miss the pack switch position. Our trip was scheduled to finish with this leg and we were to then deadhead to our crew base. My First Officer commutes from our destination so it is my personal belief that he had mentally checked out. His plan was to get to our destination and go home.",,A B737-700 flight crew failed to insure the air conditioning packs were on prior to takeoff. The oversight was noted during the initial climb and the packs turned on.,ASRS_DBOnline_2010_2014.xlsx
Air Carrier,870870.0,Air Carrier,870872.0,"We were at FL360 when we received an ECAM G HYD SYS LOW PR. At that time I took control of the aircraft while the First Officer ran the appropriate check lists. It was determined through ECAMs and in talking with Maintenance Control and Dispatch that we had lost our Green Hydraulic System. We then declared an Emergency and ran the Appropriate Checklists for approach and landing: Landing distances required, Gravity Gear Extension, Tow in. I also had the purser do a Cabin Advisory. After briefing the Purser and passengers we prepared for landing with a brief about what to expect and when checklists would need to be run. I landed the aircraft and stopped on the runway. We were towed to the gate after the aircraft was secured by ground personnel and CFR.","At cruise, FL360, ECAM message 'HYD G SYS LO PR' appeared, followed by 'HYD G RSVR LO LVL'. At that time, the Captain took control of the aircraft while I ran the ECAM and checklist. At the completion of the ECAM, a subsequent ECAM 'G ENG 1 PUMP LO PR' illuminated. It was a result of the previous ECAM actions. As a result of the loss of Green System hydraulic fluid and no chance to recover the Green system, the checklist advised that we had lost Nose Wheel Steering and that the we would have to do a gravity extend of the landing gear. The Captain and I discussed the situation. The Captain contacted Dispatch and Maintenance Control to alert them to our condition and discuss options. At that time, considering our condition, a landing at ZZZ was our best option. The Captain declared an emergency with ATC and informed them of our decision to continue to ZZZ. The Captain contacted the #1 Flight Attendant to inform her of the situation and directed a cabin advisory. At that time I completed the Landing Distances Required performance considerations. Runway 7 was more than adequate. Other considerations for the landing were a loss of normal brakes, the number 1 reverser and some spoilers. Approach to the terminal area was normal. The emergency equipment was standing by for our arrival. On downwind, I ran the Landing Gear Gravity Extend Checklist and extended the landing gear. With the loss of the Nosewheel Steering, the decision was made to stop on the runway. Landing was normal. The Captain brought the aircraft to a stop straight ahead and set the parking brakes. We completed the after landing flows. The APU was started and the engines were shut down. I completed the Tow In checklist. Emergency personnel inspected the aircraft and cleared it for towing. Ground personnel pinned the landing gear and connected the tug. Ground cleared us to the gate.","An A320 flight crew declared an emergency, performed the appropriate checklists and landed safely after suffering a Green Hydraulic System failure.",ASRS_DBOnline_2010_2014.xlsx
