operatorcontrolnumber,difficultydate,submissiondate,operatordesignator,submitterdesignator,submittertypecode,receivingregioncode,receivingdistrictoffice,sdrtype,jasccode,natureofconditiona,natureofconditionb,natureofconditionc,precautionaryprocedurea,precautionaryprocedureb,precautionaryprocedurec,precautionaryprocedured,stageofoperationcode,howdiscoveredcode,registrynnumber,aircraftmake,aircraftmodel,aircraftserialnumber,aircrafttotaltime,aircrafttotalcycles,enginemake,enginemodel,engineserialnumber,enginetotaltime,enginetotalcycles,propellermake,propellermodel,propellerserialnumber,propellertotaltime,propellertotalcycles,partmake,partname,partnumber,partserialnumber,partcondition,partlocation,parttotaltime,parttotalcycles,parttimesince,partsincecode,componentmake,componentmodel,componentname,componentpartnumber,componentserialnumber,componentlocation,componenttotaltime,componenttotalcycles,componenttimesince,componentsincecode,fuselagestationfrom,fuselagestationto,stringerfrom,stringerfromside,stringerto,stringertoside,wingstationfrom,wingstationfromside,wingstationto,wingstationtoside,buttlinefrom,buttlinefromside,buttlineto,buttlinetoside,waterlinefrom,waterlineto,cracklength,numberofcracks,corrosionlevel,structuralother,discrepancy
FDEA201003090703,2010-09-03 00:00:00,2010-09-03 14:52:56,FDEA,FDEA,A,CE,21.0,A,7830.0,O,,,K,,,,IN,V,570FE,DOUG,MD1010F,47829,74213.0,25266.0,GE,CF66D,,,,,,,,,,SKIN,9071M77G13,,GOUGED,THRUST REVERSER,,,74213.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NR3 ENG RT THRUST REVERSER COWL FWD HINGE PANEL IS GOUGED AND LOOSE. THRUST REVERSER FWD HINGE PANEL 50 PERCENT MATERIAL LOSS; FOUND TO BE OUT OF LIMITS IAW EM 78-32-12, PG 2. R & R DAMAGED SKIN IAW SRM 51-10-00, VOL II; SRM 51-21-00, VOL II; SRM 51-21-01, VOL II AND SRM 51-31-01, VOL II. REMOVED AND REINSTALLED DOOR ASSY IAW SPM 70-51-00."
FDEA201102090510,2011-09-02 00:00:00,2/16/2011 16:17:37,FDEA,FDEA,A,CE,21.0,A,2597.0,L,,,K,,,,IN,C,362FE,DOUG,MD1010F,48261,72848.0,26073.0,,,,,,,,,,,,LIGHT,,,INOPERATIVE,L1 DOOR SLIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L1 DOOR SLIDE PTT LIGHT INOP. WIRE THAT ATTACHES TO C BATTERY HOUSING BROKEN OFF. RELEASED FOR SERVICE IAW MEL: 25-61-01, PRESS VERIFIED IAW MEL 25-61-01. ACFT OK FOR SERVICE."
FDEA201202090536,2012-09-02 00:00:00,2012-09-02 17:08:07,FDEA,FDEA,A,CE,21.0,A,5710.0,O,,,K,,,,IN,V,367FE,DOUG,MD1010F,46605,79742.0,33003.0,,,,,,,,,,,DOUG,STRUCTURE,ARB11941,,GOUGED,ZONE 500,79742.0,33003.0,79742.0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT WING NR 3 SLAT TRACK IS RIDING/CUTTING INTO L/E SUPPORT STRUCTURE. FWD UPPER TRACK CORNERS. CLEARANCE CHECKED GOOD.
DXTA2012032604429,3/23/2012 0:00:00,3/26/2012 6:44:32,DXTA,DXTA,E,GL,7.0,A,2120.0,B,,,A,,,,CL,O,867QS,RAYTHN,HAWKER800XP,258576,6404.0,4594.0,,,,,,,,,,,,APU,38003041,P458,ODOR,CABIN,8981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AFTER TAKEOFF, SHORTLY AFTER TURNING THE MAV'S ON AND THE APU COMPLETELY OFF THERE WAS A STRONG ODOR THAT SMELLED LIKE OIL. THERE WAS NO SMOKE. TURNED MAV'S TO LP AND THE ODOR WENT AWAY. R & R APU WITH UNIT REPAIRED UNIT. OPS AND LEAK CHECKED SATISFACTORY. ALL WORK IAW MM 49-11-00."
2012FA0000713,10/19/2012 0:00:00,10/19/2012 16:02:49,,,E,EA,11.0,G,2612.0,N,,,A,,,,CR,O,132SD,GULSTM,GV,537,4810.0,1454.0,RROYCE,BR700710A110,11182,4650.0,1407.0,,,,,,,BONDING STRAP,,,SHORTED,NR 1 NACELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING CRUISE, CREW REPORTED AN INTERMITTENT FIRE WARNING INDICATION ON NR 1 ENGINE, WHICH SUBSEQUENTLY TURNED INTO A STEADY INDICATION. FOLLOWED PROCEDURES IN THE AFM IN ORDER TO CONFIRM OR EXCLUDE VALIDITY OF INDICATION. DETERMINED INDICATION WAS FALSE. MX VERIFIED THAT THE FIRE WAS FALSE, AND TROUBLESHOT THE DETECTION SYSTEM. A BONDING LEAD POSITIONED TOO CLOSE TO THE LOOP ""A"" TERMINAL WAS FOUND TO BE THE PROBLEM. THE BONDING LEAD WAS REPOSITIONED TO ADD CLEARANCE. CONTINUITY, RESISTANCE AND FUNCTION CHECKS IAW AMM INDICATE NORMAL FUNCTIONALITY."
FDEA201210303782,10/30/2012 0:00:00,11/16/2012 14:17:26,FDEA,FDEA,A,CE,21.0,A,5340.0,O,,,K,,,,IN,V,318FE,DOUG,MD1030F,46837,88186.0,24645.0,,,,,,,,,,,DOUG,FITTING,NFA62341,,CORRODED,BS 1746,88186.0,24645.0,88186.0,R,,,,,,,,,,,1746,,46.0,R,,,,,,,,,,,,,,,,10/31/2012,"CENTER CARGO DOOR SILL FITTING CORRODED AT NR 3 LATCH SPOOL ASSY AREA BS 1746, L43R. REPAIRED IAW SRM 53-50-00, FIG 15, VOL I. FOUND WITHIN LIMITS. REMOVED AND REINSTALLED NR 3 LATCH SPOOL IAW MM 52-32-00-5. OP'S CHECKED GOOD IAW MM 52-32-00-5. MAJOR REPAIR."
IRJ2011F00000,2010-03-12 00:00:00,2011-04-02 10:40:11,IRJC,IRJC,E,AL,1.0,A,6122.0,O,,,K,,,,IN,V,3589B,PIPER,PA31350,318052134,,,LYC,TIO540*,,,,,,,,,,SOCKET,3174700,,UNSECURE,PROP GOVERNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PILOT REPORTED RT PROP CONTROL INOPERATIVE. INSP REVEALED THAT THE BALL, PN 54175-00, CAME OUT OF THE SOCKET, PN 31747-00, ON THE RT PROP CONTROL END AT THE GOVERNOR. INSPECTED AND REPAIRED CONNECTION AT THE RT PROP GOV."
DLM88100694,2/16/2010 0:00:00,3/25/2010 13:39:03,DALA,DALA,A,SO,27.0,A,5350.0,O,,,K,,,,IN,V,989DL,DOUG,MD88,53341,47265.0,34895.0,PWA,JT8D219,,,,,,,,,,RELEASE CABLE,,,FRAYED,TAILCONE,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROKEN STRANDS ON TAILCONE RELEASE CABLE STA 1510 CANT 11 O'CLOCK POSITION. CABLE WAS REPLACED IAW AMM 20-10-17-201. CABLE WAS ADJUSTED AND OPS CHECKED IAW AMM 53-53-00-501.
DALA1131799224,2/26/2011 0:00:00,2011-09-05 14:26:36,DALA,DALA,A,SO,27.0,A,5320.0,O,,,K,,,,IN,V,924DN,DOUG,MD9030,53586,29403.0,20926.0,,,,,,,,,,,DOUG,SPLICE,2641454,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,580,,29.0,R,30.0,,,,,,,,,,,,,,,,HMV2 MID CARGO L30 AND L29R STA 580 SPLICES CORRODED. REPLACED SPLICES PER ERA 487473-14 REV 0.
DLM88101159,2010-09-05 00:00:00,5/13/2010 6:08:10,DALA,DALA,A,SO,27.0,A,5310.0,O,,,K,,,,IN,9,997DL,DOUG,MD88,53364,48758.0,35913.0,PWA,JT8D219,,,,,,,,,,BEAM,,,CORRODED,CARGO DOORWAY,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EXFOLIATION CORROSION ON MID CARGO COMPT LOWER DOOR JAMB BEAM BTWN ST Y=636 AND 693. REPAIRED IAW SRM 53-05, FIG 123."
CA100825007,2010-05-08 00:00:00,2011-04-01 11:00:22,,,W,CA,,A,8011.0,O,,,K,,,,IN,V,,PIPER,PA31350,,15999.0,,LYC,LTIO540J2BD,,,,HARTZL,HCE3YR2A,,,,,MOUNT,,,BROKEN,STARTER,258.0,,,,,,STARTER,149NLR,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING ROUTINE MX INSP, THE RT STARTER FWD UPPER STARTER MOUNT FOUND BROKEN AWAY FROM STARTER HSG. STARTER ASSY REPLACED WITH NEW. THIS STARTER WAS THE ORIGINAL INSTALLATION FROM O/H ENGINE VENDOR. THIS SAME PROBLEM HAS BEEN FOUND SUBSEQUENTLY ON 3 OTHER ACFT, ALL RT ENGINES AND ALL NEW INSTALLATIONS BY SAME ENGINE AGENCY."
DALA1141710911,6/28/2011 0:00:00,6/29/2011 14:06:10,DALA,DALA,A,SO,27.0,A,5330.0,O,,,K,,,,IN,V,911DL,DOUG,MD88,49542,61289.0,48251.0,,,,,,,,,,,DOUG,SKIN,,,DAMAGED,FUSELAGE,,,,,,,,,,,,,,,210,,12.0,R,15.0,R,,,,,,,,,,,,,,,DAMAGED HOLE WAS FOUND BETWEEN STR 12 AND 15 AT STA 210.75 AT RT LOWER ACCESS DOOR CUTOUT. REPAIRED PER ERA 493100-14AD REV ORG.
DALA1147049015,7/19/2011 0:00:00,2011-10-08 14:16:49,DALA,DALA,A,SO,27.0,A,5320.0,O,,,K,,,,IN,V,915DE,DOUG,MD88,53420,46070.0,36764.0,,,,,,,,,,,DOUG,ANGLE,,,CRACKED,FUSELAGE,,,,,,,,,,,,,,,1474,,,,,,,,,,,,,,,,,,,,FUSELAGE STA 1474 CANTED FRAME AREA AT RT EXHAUST LOUVER UPPER VERTICAL ANGLE CRACKED. REPLACED ANGLE ON CANTED FRAME DURING HMV.
DALA1153310947,2011-10-09 00:00:00,9/15/2011 14:53:48,DALA,DALA,A,SO,27.0,A,5320.0,O,,,K,,,,IN,V,947DL,DOUG,MD88,49878,57930.0,43796.0,,,,,,,,,,,DOUG,MEMBRANE,,,DAMAGED,FUSELAGE,,,,,,,,,,,,,,,218,,,,,,,,,,44.0,L,,,,,,,,,MAIN CABIN SUB FLOOR MEMBRANE HAS CORROSION AND IS CRACKED AT FASTENERS HOLE AT B STA 218 APPROX AND LBL 44 AS MARKED. FABRICATED REPAIR DOUBLER AND FILLER PER SRM MD 80 51-70-4 FIG 2. INSTALLED REPAIR DOUBLER AND FILLER PER SRM MD 51-70-4 FIG 2. AT SAA/SAT DURING HMV ON N/R 183111 W/O 88822290001.
DALA1157579229,2010-07-10 00:00:00,2011-12-10 14:49:36,DALA,DALA,A,SO,27.0,A,5534.0,O,,,K,,,,IN,V,929DN,DOUG,MD9030,53459,29415.0,21787.0,,,,,,,,,,,DOUG,STRUCTURE,,,CRACKED,DORSAL FIN,,,,,,,,,,,,,,,1475,,3.0,L,3.0,R,,,,,,,,,,,,,,,STA 1475 L3LT-L3RT DORSAL FIN REPAIRED IAW BNI-BNI-10-0069-09B 8100-9 RECEIVED 09/23/2011___(TO 85.
DALA1166200910,11/28/2011 0:00:00,11/29/2011 15:13:26,DALA,DALA,A,SO,27.0,A,3397.0,L,,,K,,,,IN,C,910DL,DOUG,MD88,49541,64353.0,50448.0,,,,,,,,,,,,CONNECTOR,,,DISCONNECTED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING LINE CHECK, MAINTENANCE FOUND THAT THE EMERGENCY PATHWAY LIGHTING AT SEAT 2C IN THE FIRST CLASS CABIN, WAS INOPERATIVE. MAINTENANCE FOUND A CONNECTOR IN THE WIRE HARNESS HAD FAILED AND REPLACED IT. THE FUNCTIONAL CHECK OF THE SYSTEM WAS GOOD."
DALA1208370923,2012-02-02 00:00:00,2/16/2012 14:42:50,DALA,DALA,A,SO,27.0,A,5330.0,O,,,K,,,,IN,V,923DL,DOUG,MD88,49705,62147.0,48107.0,,,,,,,,,,,DOUG,SKIN,,,DENTED,FUSELAGE,,,,,,,,,,,,,,,254,255,17.0,L,18.0,L,,,,,,,,,,,,,,,"2 EA DENT ON FUSELAGE SKIN AT STA 254 AND 255 BETWEEN L17L AN L18L. MEASURED DENT, FOUND TO BE OUT OF LIMITS."
DALA1209940952,2/18/2012 0:00:00,2/22/2012 14:54:14,DALA,DALA,A,SO,27.0,A,2565.0,W,,,K,,,,IN,9,952DL,DOUG,MD88,49883,58904.0,43879.0,,,,,,,,,,,,LANYARD,,,MISROUTED,R2 DOOR SLIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING SERVICE CHECK, MAINTENANCE FOUND R2 DOOR SLIDE LANYARD MISROUTED. MAINTENANCE CORRECTLY ROUTED SLIDE LANYARD PER AMM. AIRCRAFT OKAY FOR SERVICE."
DALA1221799203,2012-05-03 00:00:00,2012-12-04 14:46:22,DALA,DALA,A,SO,27.0,A,5347.0,O,,,K,,,,IN,V,903DA,DOUG,MD9030,53383,45964.0,24372.0,,,,,,,,,,,DOUG,SEAT TRACK,,,CORRODED,BS 854-1088,,,,,,,,,,,,,,,854,1088,,,,,,,,,55.0,L,,,,,,,,,"MAIN CABIN SEAT TRACK AT LBL 55 HAS CORROSION & GOUGES FROM BS 854 TO 1088. BLENDED DAMAGED AREAS ON SEAT TRACK, FOUND TO BE OUT OF LIMITS. REMOVED, FABRICATED AND INSTALLED SEAT TRACK SECTON IAW SRM 53-20-01."
DALA1219400930,3/28/2012 0:00:00,3/29/2012 14:43:27,DALA,DALA,A,SO,27.0,A,5330.0,O,,,K,,,,IN,V,930DL,DOUG,MD88,49717,61749.0,47366.0,,,,,,,,,,,DOUG,SKIN,,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,760,769,27.0,R,27.0,L,,,,,,,,,,,,,,,"DURING HMV CORROSION WAS FOUND ON FUSELAGE SKIN OF FILLET PANEL AREA FROM STA Y=760 TO 769 BTWEEN LONGS 27R AND 28R ALSO STA Y=758 BTWEEN LONGS 27L AND 28L. REF MD88 SRM 53-04D PARA 57, FOR REPAIR."
DALA1227780926,2012-06-04 00:00:00,2012-01-05 14:42:32,DALA,DALA,A,SO,27.0,A,5347.0,O,,,K,,,,IN,9,926DL,DOUG,MD88,49713,62139.0,47324.0,,,,,,,,,,,DOUG,SEAT TRACK,,,CORRODED,BS 799-826,,,,,,,,,,,,,,,799,826,,,,,,,,,,,,,,,,,,,"SEAT TRACK AT X22 BS 799-826 HAS CORROSION AND CHAFE DAMAGE ON FLANGES, CROWN, AND CHANNEL."
DALA1227229203,2012-06-03 00:00:00,4/30/2012 14:37:38,DALA,DALA,A,SO,27.0,A,5347.0,O,,,K,,,,IN,V,903DA,DOUG,MD9030,53383,45964.0,24372.0,,,,,,,,,,,DOUG,SEAT TRACK,,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,854,1069,,,,,,,,,22.0,L,,,,,,,,,"MAIN CABIN SEAT TRACK AT LBL 22 HAS CORROSION/GOUGES FROM 854 TO STA 1069 AND A DRILL START AT STA 991.5 / REMOVED CORROSION ON SEAT TRACKS AT STA 854 TO 1069 IAW MD90 SRM 51-10-3 PG 46-48 PARA 26 AND MD90 SRM 53-40-01 PG 22. FOUND TO BE OUT OF LIMITS PER MD90 SRM 53-40-01 PG 22-22B. INSTALLED 2EA SEAT TRACK, 2EA SPLICE, 2EA PLATE AT MAIN CABIN LBL 22 FROM STA 854 TO STA 1069 PER MD90 SRM 51-30-05 VOL 2 PG 10A AND MD90 SRM 53-40-01 FIG 6 AND INSTALLED ID IAW PS 900-5-1 NO 4."
DALA1242289253,7/18/2012 0:00:00,7/20/2012 14:36:40,DALA,DALA,A,SO,27.0,A,3397.0,L,,,K,,,,IN,C,953DN,DOUG,MD9030,53523,39401.0,22237.0,,,,,,,,,,,,WIRE,,,DISCONNECTED,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING SERVICE CHECK, MAINTENANCE FOUND EMERGENCY EGRESS LIGHT ABOVE TAILCONE CATWALK NOT CONNECTED. INSTALLED WIRE L2527A16N ONTO TERMINAL PER WDM. OPS CHECKED GOOD."
DALA1242629019,7/22/2012 0:00:00,7/24/2012 14:38:05,DALA,DALA,A,SO,27.0,A,5330.0,O,,,K,,,,IN,9,919DE,DOUG,MD88,53422,48762.0,35234.0,,,,,,,,,,,DOUG,SKIN,,,DAMAGED,BS 617-636,,,,,,,,,,,,,,,617,636,,,,,,,,,,,,,,,,,,,"DURING HMV, LIGHTNING STRIKES WERE FOUND ON FWD AND AFT EDGES OF LT WINDOW BELT FRAME BS 617-636. WINDOW BELT FRAME WAS BLENDED OUT AFT EDGES AND WITHIN LIMITS PER SRM 53-05 FIG 111. THE FWD EDGE WAS REPAIRED IAW ERA 504342-14 REV ORIG."
DALA1504029235,1/24/2011 0:00:00,3/13/2015 10:06:03,DALA,DALA,A,SO,27.0,A,5330.0,O,,,O,,,,NR,9,935DN,DOUG,MD9030,53460,29938.0,19424.0,,,,,,,,,,,DOUG,SKIN,,,DENTED,BS 229-275,,,,,,,,,,,,,,,229,275,11.0,L,15.0,L,,,,,,,,,,,,,,,"DENT ON SKIN AT STA 229-275, L11-15LHREPAIRED IAW SRM 53"
DALA1504159263,2/18/2012 0:00:00,3/18/2015 12:46:44,DALA,DALA,A,SO,27.0,A,5100.0,O,,,O,,,,NR,9,963DN,DOUG,MD9030,53533,36380.0,20789.0,,,,,,,,,,,DOUG,SUPPORT FITTING,,,UNKNOWN,MLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLG ACTUATOR SUPPORT FITTING REPAIRED IAW AA 5740-01140.
CA111205001,11/19/2011 0:00:00,9/14/2015 11:03:21,,,Z,SW,99.0,G,3240.0,K,J,,O,,,,TX,O,,PIPER,PA31350,,9647.0,,LYC,TIO540J2BD,,,,MCAULY,B3DF36C526,,,,,LINE,,,CRACKED,BRAKE SYS,10053.0,,10053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(CAN) IT WAS NOTICED THAT THE LT OLEO WAS LEAKING FLUID AND LOOSING PRESSURE, AFTER DISMANTLE OF THE BRACKET THAT HOLDS THE BRAKE LINE, A 1.5"" CRACK WAS NOTICED. THE PART WAS REPLACED AND ACFT RETURNED TO SERVICE."
CA121016002,10/15/2012 0:00:00,9/14/2015 11:03:57,,,Z,SW,99.0,G,3020.0,O,,,O,,,,NR,9,,TECNAM,P2006T,,,,ROTAX,ROTAX912S3,,,,,,,,,,CABLE,,,FAILED,CARB HEAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(CAN) OBSERVED DURING SCHEDULED INSPECTION, THE BRASS FERRULE ON CARB HEAT CABLE ENGINE END IS DEFORMED, ELONGATED. THIS OCCURENCE IS ON THE RT ENGINE ONLY AND IS THE ONLY INDICATION OF A PENDING CARB HEAT CABLE BREAKAGE AT ENGINE END OF THE CABLE. THE FACTORY HAS BEEN MADE AWARE OF THIS FINDING. PARTS HAVE BEEN ORDERED TO CORRECT THIS SITUATION. AS OF THIS WRITING THE CABLE HAS NOT FAILED AND IS BEING MONITORED UNTIL NEW REPLACEMENT CABLES CAN BE PROCURED. THE ACFT IS GROUNDED UNTIL RT CARBURETOR HEAT CABLE IS REPLACED WITH NEW. THIS CABLE EXHIBITS THE WORST DEFORMATION OF THE BRASS FERRULE ON THE CABLE END."
